amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	fulfilled-by 
405-3537512-1581163	405-3537512-1581163	2017-06-22T09:39:51+00:00	2017-06-22T18:48:34+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0								Ghaziabad	Uttar Pradesh	201002	IN		
406-6609893-1417956	406-6609893-1417956	2017-06-21T20:34:39+00:00	2017-06-21T22:08:15+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557241	B071HPCVWT	Cancelled	0										NEW DELHI	DELHI	110034	IN		
407-3968192-4506703	407-3968192-4506703	2017-06-21T06:01:39+00:00	2017-06-21T10:28:10+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		50.0					50.0	SURAT	GUJARAT	394325	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
404-3138170-3328357	404-3138170-3328357	2017-06-20T16:27:03+00:00	2017-06-21T08:03:47+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557241	B071HPCVWT	Shipped	1	INR	999.0		8.34					8.34	NEW DELHI	DELHI	110076	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
406-4760544-4926735	406-4760544-4926735	2017-06-21T02:52:24+00:00	2017-06-21T06:32:21+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		50.0					50.0	BENGALURU	KARNATAKA	560008	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
407-9259202-9228321	407-9259202-9228321	2017-06-20T12:40:30+00:00	2017-06-21T04:17:27+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		50.0					50.0	BOKARO	Jharkhand	827003	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
405-9816275-4258739	405-9816275-4258739	2017-06-20T03:09:53+00:00	2017-06-20T16:28:02+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557241	B071HPCVWT	Shipped	1	INR	999.0								Pune	Maharashtra	411057	IN		
406-0693608-1335563	406-0693608-1335563	2017-06-19T09:29:07+00:00	2017-06-19T17:57:53+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Indestructible Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le	8944638557227	B06XYQFJPY	Shipped	1	INR	999.0		50.0					50.0	NAGPUR	MAHARASHTRA	440013	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	
403-2462050-5448302	403-2462050-5448302	2017-06-19T05:08:06+00:00	2017-06-19T10:04:24+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	999.0								TARANTARAN	PUNJAB	143401	IN		
403-2462050-5448302	403-2462050-5448302	2017-06-19T05:08:06+00:00	2017-06-19T10:04:24+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro	8944638557241	B071HPCVWT	Shipped	1	INR	999.0								TARANTARAN	PUNJAB	143401	IN		
