amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by 
406-4798158-9720314	406-4798158-9720314	2017-08-19T04:31:38+00:00	2017-08-19T09:32:41+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0		50.0					50.0	ALWAR	RAJASTHAN	301019	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
406-5471432-0463536	406-5471432-0463536	2017-08-19T04:07:09+00:00	2017-08-19T04:08:42+00:00	Cancelled	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Cancelled	0										ALWAR	RAJASTHAN	301019	IN		false			
403-7761444-7669161	403-7761444-7669161	2017-08-18T17:32:11+00:00	2017-08-18T23:43:19+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0								Valsad	Valsad	396001	IN		false			
171-1288400-1108334	171-1288400-1108334	2017-08-17T16:46:24+00:00	2017-08-17T19:42:18+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0		25.0					25.0	TIPTUR	KARNATAKA	572201	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
406-5586700-5200358	406-5586700-5200358	2017-08-17T08:43:46+00:00	2017-08-17T10:38:07+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	899.0		50.0					50.0	BENGALURU	KARNATAKA	560082	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
407-9455317-1433933	407-9455317-1433933	2017-08-17T03:48:25+00:00	2017-08-17T06:33:56+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	899.0								Chennai	Tamilnadu	600089	IN		false			
408-2736145-4209124	408-2736145-4209124	2017-08-16T11:42:35+00:00	2017-08-16T16:16:20+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557234	B06Y2CJ7XZ	Shipped	1	INR	899.0								KOZHIKODE	KERALA	673032	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
406-7185519-4986738	406-7185519-4986738	2017-08-16T08:39:29+00:00	2017-08-16T11:27:21+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	1	INR	899.0								MUMBAI	MAHARASHTRA	400095	IN		false			
408-9600670-9608327	408-9600670-9608327	2017-08-15T17:05:48+00:00	2017-08-16T09:32:23+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557241	B071HPCVWT	Shipped	1	INR	799.0		50.0					50.0	SURAT	GUJARAT	395006	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
171-6941364-1937133	171-6941364-1937133	2017-08-15T10:53:44+00:00	2017-08-16T05:57:27+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0		16.67					16.67	BENGALURU	KARNATAKA	560097	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
408-4997040-9822712	408-4997040-9822712	2017-08-15T07:44:53+00:00	2017-08-16T04:41:57+00:00	Shipped	Amazon	Amazon.in			Expedited	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0								Navi Mumbai	Maharashtra	400703	IN		false			
407-1472072-2771506	407-1472072-2771506	2017-08-14T16:08:08+00:00	2017-08-14T19:27:23+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0		50.0					50.0	GHAZIABAD	UTTAR PRADESH	201009	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false			
405-7361848-7659546	405-7361848-7659546	2017-08-14T17:06:12+00:00	2017-08-14T19:21:22+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0								CHENNAI	TAMIL NADU	600063	IN		false			
405-4644647-0408334	405-4644647-0408334	2017-08-14T16:04:25+00:00	2017-08-14T19:20:33+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	799.0								BALESHWAR	ODISHA	756001	IN		false			
S02-3270723-3952325	170809BPM	2017-08-09T11:13:03+00:00	2017-08-14T15:55:11+00:00	Shipped	Amazon	Non-Amazon			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T / Leeco Le 1S , 2 , 2 Pro , Max 2 , Pro3 , S3/ Samsung Galaxy S8 / Google Pixel / Macbook / Chromebook / Motorola M / Honor 8 / Nexus 5X , 6P / Xiaomi Mi 4C , 5 and All Type C Devices (White)	8944638557227	B06XYQFJPY	Unshipped	1										Thane	Maharashtra	400610	IN		false			
403-1689567-2249949	403-1689567-2249949	2017-08-12T11:41:24+00:00	2017-08-13T04:19:13+00:00	Shipped	Amazon	Amazon.in			Standard	SmartSmith USB 3.1 Type C Cable : Original [Gold Plated Connector] Nylon Braided 1 Metre Data and Fast Charging Premium Cable for Oneplus 2 , 3 , 3T /	8944638557227	B06XYQFJPY	Shipped	1	INR	849.0								MYSURU	KARNATAKA	570015	IN		false			
